Episode,Score,Epsilon
1,0,0.493074620618078
2,0,0.493074620618078
3,0,0.493074620618078
4,0,0.493074620618078
5,0,0.493074620618078
6,0,0.493074620618078
7,0,0.493074620618078
8,0,0.493074620618078
9,0,0.493074620618078
10,0,0.493074620618078
11,0,0.493074620618078
12,0,0.493074620618078
13,0,0.493074620618078
14,0,0.493074620618078
15,0,0.493074620618078
16,20,0.493074620618078
17,0,0.493074620618078
18,0,0.493074620618078
19,0,0.493074620618078
20,0,0.493074620618078
21,0,0.493074620618078
22,0,0.493074620618078
23,0,0.493074620618078
24,0,0.493074620618078
25,0,0.493074620618078
26,0,0.493074620618078
27,0,0.493074620618078
28,0,0.493074620618078
29,0,0.493074620618078
30,0,0.493074620618078
31,0,0.493074620618078
32,0,0.493074620618078
33,0,0.493074620618078
34,0,0.493074620618078
35,0,0.493074620618078
36,0,0.493074620618078
37,0,0.493074620618078
38,0,0.493074620618078
39,0,0.493074620618078
40,0,0.493074620618078
41,0,0.493074620618078
42,0,0.493074620618078
43,0,0.493074620618078
44,0,0.493074620618078
45,0,0.493074620618078
46,0,0.493074620618078
47,0,0.493074620618078
48,0,0.493074620618078
49,0,0.493074620618078
50,0,0.493074620618078
51,0,0.493074620618078
52,0,0.493074620618078
53,0,0.493074620618078
54,0,0.493074620618078
55,0,0.493074620618078
56,0,0.493074620618078
57,0,0.493074620618078
58,0,0.493074620618078
59,0,0.493074620618078
60,0,0.493074620618078
61,0,0.493074620618078
62,0,0.493074620618078
63,0,0.493074620618078
64,0,0.493074620618078
65,0,0.493074620618078
66,0,0.493074620618078
67,0,0.493074620618078
68,0,0.493074620618078
69,0,0.493074620618078
70,0,0.493074620618078
71,0,0.493074620618078
72,0,0.493074620618078
73,0,0.493074620618078
74,0,0.493074620618078
75,0,0.493074620618078
76,0,0.493074620618078
77,0,0.493074620618078
78,20,0.493074620618078
79,0,0.493074620618078
80,0,0.493074620618078
81,0,0.493074620618078
82,0,0.493074620618078
83,0,0.493074620618078
84,0,0.493074620618078
85,0,0.493074620618078
86,0,0.493074620618078
87,0,0.493074620618078
88,0,0.493074620618078
89,0,0.493074620618078
90,0,0.493074620618078
91,0,0.493074620618078
92,0,0.493074620618078
93,0,0.493074620618078
94,0,0.493074620618078
95,0,0.493074620618078
96,0,0.493074620618078
97,0,0.493074620618078
98,0,0.493074620618078
99,0,0.493074620618078
100,0,0.493074620618078
101,0,0.493074620618078
102,0,0.493074620618078
103,0,0.493074620618078
104,0,0.493074620618078
105,0,0.493074620618078
106,0,0.493074620618078
107,0,0.493074620618078
108,0,0.493074620618078
109,0,0.493074620618078
110,0,0.493074620618078
111,0,0.493074620618078
112,0,0.493074620618078
113,0,0.493074620618078
114,0,0.493074620618078
115,0,0.493074620618078
116,0,0.493074620618078
117,0,0.493074620618078
118,0,0.493074620618078
119,0,0.493074620618078
120,0,0.493074620618078
121,0,0.493074620618078
122,0,0.493074620618078
123,0,0.493074620618078
124,0,0.493074620618078
125,0,0.493074620618078
126,0,0.493074620618078
127,0,0.493074620618078
128,0,0.493074620618078
129,0,0.493074620618078
130,0,0.493074620618078
131,0,0.493074620618078
132,0,0.493074620618078
133,20,0.493074620618078
134,0,0.493074620618078
135,0,0.493074620618078
136,0,0.493074620618078
137,0,0.493074620618078
138,0,0.493074620618078
139,20,0.493074620618078
140,20,0.493074620618078
141,0,0.493074620618078
142,0,0.493074620618078
143,20,0.493074620618078
144,0,0.493074620618078
145,0,0.493074620618078
146,0,0.493074620618078
147,0,0.493074620618078
148,0,0.493074620618078
149,0,0.493074620618078
150,0,0.493074620618078
151,0,0.493074620618078
152,0,0.493074620618078
153,0,0.493074620618078
154,20,0.493074620618078
155,0,0.493074620618078
156,0,0.493074620618078
157,0,0.493074620618078
158,0,0.493074620618078
159,0,0.493074620618078
160,0,0.493074620618078
161,0,0.493074620618078
162,0,0.493074620618078
163,0,0.493074620618078
164,0,0.493074620618078
165,0,0.493074620618078
166,0,0.493074620618078
167,0,0.493074620618078
168,0,0.493074620618078
169,0,0.493074620618078
170,0,0.493074620618078
171,0,0.493074620618078
172,0,0.493074620618078
173,0,0.493074620618078
174,0,0.493074620618078
175,0,0.493074620618078
176,0,0.493074620618078
177,0,0.493074620618078
178,0,0.493074620618078
179,0,0.493074620618078
180,0,0.493074620618078
181,0,0.493074620618078
182,0,0.493074620618078
183,0,0.493074620618078
184,0,0.493074620618078
185,0,0.493074620618078
186,0,0.493074620618078
187,20,0.493074620618078
188,0,0.493074620618078
189,0,0.493074620618078
190,0,0.493074620618078
191,0,0.493074620618078
192,0,0.493074620618078
193,0,0.493074620618078
194,20,0.493074620618078
195,0,0.493074620618078
196,0,0.493074620618078
197,0,0.493074620618078
198,0,0.493074620618078
199,0,0.493074620618078
200,0,0.493074620618078
201,0,0.493074620618078
202,0,0.493074620618078
203,0,0.493074620618078
204,0,0.493074620618078
205,0,0.493074620618078
206,0,0.493074620618078
207,0,0.493074620618078
208,0,0.493074620618078
209,0,0.493074620618078
210,0,0.493074620618078
211,0,0.493074620618078
212,0,0.493074620618078
213,0,0.493074620618078
214,0,0.493074620618078
215,0,0.493074620618078
216,0,0.493074620618078
217,0,0.493074620618078
218,0,0.493074620618078
219,0,0.493074620618078
220,0,0.493074620618078
221,0,0.493074620618078
222,0,0.493074620618078
223,0,0.493074620618078
224,0,0.493074620618078
225,0,0.493074620618078
226,0,0.493074620618078
227,0,0.493074620618078
228,0,0.493074620618078
229,0,0.493074620618078
230,0,0.493074620618078
